<<<<<<< HEAD
﻿Country,Region,Gender,Age-years,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_enery,Importance_owning_computer,Importance_Internet_access
,,,,,,,,,,,,,,,,,,,
New Zealand,Otago,Female,13,Right-handed,167,17,167,2,Car,15,0.485,,Netball,1000,,750,,,
,,,,,,,,,,,,,,,,,,,
Australia,Western Australia,Female,14,Right-handed,53,21,131,1,Walk,2,0.42,33,Hockey (Field),539,533,533,545,427,362
,,,,,,,,,,,,,,,,,,,
Australia,South Australia,Female,15,Right-handed,172,24,171,5,Rail (Train/Tram/Subway),45,0.29,29,Other activities/sports,781,699,905,687,1000,1000
,,,,,,,,,,,,,,,,,,,
New Zealand,Auckland,Female,16,Right-handed,161,27,161,1,Car,15,0.361,,Cycling,750,,750,,,
,,,,,,,,,,,,,,,,,,,
UK,North West,Female,14,Right-handed,158,23,152,1,Car,10,0.4,43,Dancing,611,991,729,758,500,767
,,,,,,,,,,,,,,,,,,,
New Zealand,Auckland,Female,12,Right-handed,160,23,154,2,Car,5,0.392,,Table Tennis,1000,,1000,,,
,,,,,,,,,,,,,,,,,,,
Canada,Ontario,Male,10,Right-handed,150.5,24,148,5,Bus,20,0.618,46,Basketball,770,572,984,963,797,872
,,,,,,,,,,,,,,,,,,,
New Zealand,Hawkes Bay,Male,13,Right-handed,157,25,150,1,Walk,15,0.375,,Hockey (Field),500,,500,,,
,,,,,,,,,,,,,,,,,,,
Australia,Victoria,Male,15,Right-handed,182,27,173,2,Rail (Train/Tram/Subway),45,0.45,47,Basketball,1000,1000,1000,1000,379,385
,,,,,,,,,,,,,,,,,,,
Canada,Yukon,Male,14,Right-handed,167,28.5,168,1,Car,15,0.297,38,Hockey (Ice),1000,1000,1000,1000,1000,1000
,,,,,,,,,,,,,,,,,,,
Australia,South Australia,Female,11,Right-handed,154,22,154,1,Walk,1,0.4,40,Netball,468,444,610,415,125,119
,,,,,,,,,,,,,,,,,,,
UK,Home Counties,Female,13,Right-handed,165,23,150,1,Bus,20,0.42,46,Other activities/sports,685,530,651,629,940,949
,,,,,,,,,,,,,,,,,,,
Canada,Alberta,Male,15,Right-handed,168,34,162,5,Bus,30,0.735,51,Swimming,1000,706,904,893,471,353
,,,,,,,,,,,,,,,,,,,
New Zealand,Auckland,Female,13,Right-handed,162,23,156,2,Car,5,0.42,,Rugby,500,,500,,,
,,,,,,,,,,,,,,,,,,,
UK,North West,Male,11,Right-handed,138,20,137,2,Bus,15,0.31,49,Other activities/sports,690,569,683,685,403,275
,,,,,,,,,,,,,,,,,,,
UK,South West,Female,13,Right-handed,151,22,137,1,Bus,20,3.41,39,Other activities/sports,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,
Australia,South Australia,Female,15,Left-handed,175,26,172,1,Car,4,0.35,33,Netball,539,533,557,681,663,870
,,,,,,,,,,,,,,,,,,,
UK,East Midlands,Male,14,Right-handed,168,27,174,1,Bus,30,0.28,29,Football/Soccer,161,161,129,194,258,97
,,,,,,,,,,,,,,,,,,,
Canada,Nova Scotia,Male,19,Right-handed,181.5,25,189,2,Bus,15,0.468,51,Other activities/sports,1000,1000,1000,1000,1000,1000
,,,,,,,,,,,,,,,,,,,
New Zealand,Waikato,Male,16,Left-handed,168,26,134,2,Car,15,0.388,,Basketball,1000,,1000,,,
,,,,,,,,,,,,,,,,,,,
Australia,South Australia,Female,12,Right-handed,164,24,163,1,Car,3,0.24,43,Cricket,923,764,1000,764,545,545
,,,,,,,,,,,,,,,,,,,
Australia,New South Wales,Female,12,Left-handed,156,23,154,1,Bus,30,0.58,64,Dancing,587,647,761,713,312,318
,,,,,,,,,,,,,,,,,,,
New Zealand,Auckland,Male,14,Right-handed,162,24,168,1,Bus,45,0.39,,Football/Soccer,0,,0,,,
,,,,,,,,,,,,,,,,,,,
Australia,Victoria,Female,15,Right-handed,167,23,160,1,Bus,15,0.35,35,Cycling,1000,1000,1000,498,326,1000
,,,,,,,,,,,,,,,,,,,
Australia,Western Australia,Male,12,Right-handed,170,27,160,1,Car,25,0.24,40,Basketball,421,610,456,557,444,657
,,,,,,,,,,,,,,,,,,,
New Zealand,Auckland,Female,14,Right-handed,180,27,175,1,Bus,25,2.691,,Netball,1000,,1000,,,
,,,,,,,,,,,,,,,,,,,
Australia,Victoria,Female,11,Right-handed,143,23,158,1,Car,5,0.46,41,Basketball,1000,1000,1000,994,,498
,,,,,,,,,,,,,,,,,,,
UK,London,Female,17,Left-handed,161,24,161,2,Bus,15,3.79,31,Dancing,1000,1000,1000,1000,500,1000
,,,,,,,,,,,,,,,,,,,
UK,West Midlands,Male,12,Right-handed,167,27.5,170,2,Car,5,0.36,33,Skateboarding/Rollerblading,0,129,258,63,1000,1000
,,,,,,,,,,,,,,,,,,,
Canada,Ontario,Male,18,Right-handed,170,26,168,4,Walk,30,0.437,41,Other activities/sports,786,781,845,850,1000,1000
,,,,,,,,,,,,,,,,,,,
UK,South West,Male,14,Right-handed,168,26.5,166,1,Walk,10,0.39,30,Rugby Union,485,548,710,581,613,613
,,,,,,,,,,,,,,,,,,,
Australia,Victoria,Female,12,Right-handed,155,23,125,2,Rail (Train/Tram/Subway),45,0.36,35,Swimming,976,722,1000,864,574,858
,,,,,,,,,,,,,,,,,,,
Australia,Queensland,Male,14,Right-handed,176,27,176,1,Other,20,0.42,51,Other activities/sports,,,,,1000,1000
,,,,,,,,,,,,,,,,,,,
Australia,South Australia,Male,13,Ambidextrous,150,23,140,1,Bus,25,0.29,26,Cricket,1000,414,791,725,1000,527
,,,,,,,,,,,,,,,,,,,
Australia,Queensland,Female,12,Right-handed,154,24,162,1,Bus,15,0.33,37,Hockey (Field),551,722,551,539,486,350
,,,,,,,,,,,,,,,,,,,
New Zealand,West Coast,Male,10,Right-handed,100,18,108,1,Car,45,0.804,,Cycling,1000,,500,,,
,,,,,,,,,,,,,,,,,,,
New Zealand,Otago,Male,10,Right-handed,127,20,126,1,Bus,25,1.578,,Rugby,500,,750,,,
,,,,,,,,,,,,,,,,,,,
Canada,British Columbia,Male,10,Right-handed,140,22.5,140.5,9,Cycle,5,0.484,79,Swimming,508,519,529,497,503,497
,,,,,,,,,,,,,,,,,,,
Australia,New South Wales,Female,11,Left-handed,150,24,144,2,Car,12,0.37,51,Swimming,858,852,1000,917,545,764
,,,,,,,,,,,,,,,,,,,
UK,East,Female,14,Right-handed,169,26,172,1,Bus,20,0.48,51,Baseball/Softball,884,877,732,1000,50,406
,,,,,,,,,,,,,,,,,,,
Canada,Alberta,Male,10,Right-handed,137.5,20,132,2,Bus,5,0.407,50,Hockey (Ice),1000,11,11,5,11,16
,,,,,,,,,,,,,,,,,,,
Australia,Victoria,Female,13,Right-handed,140,22,136,1,Car,10,0.35,33,Baseball/Softball,533,243,710,208,539,734
,,,,,,,,,,,,,,,,,,,
Canada,Saskatchewan,Female,15,Right-handed,167,22,160,1,Car,5,0.503,46,Football/Soccer,770,647,481,893,1000,1000
,,,,,,,,,,,,,,,,,,,
New Zealand,Otago,Female,12,Right-handed,146,21,143,1,Walk,5,0,,Running/Jogging,1000,,500,,,
,,,,,,,,,,,,,,,,,,,
New Zealand,Auckland,Female,10,Right-handed,127,12,112,3,Walk,5,0.527,,Netball,500,,500,,,
,,,,,,,,,,,,,,,,,,,
Australia,South Australia,Male,13,Right-handed,150,24,142,1,Bus,30,0.43,44,Football/Soccer,1000,1000,1000,775,444,450
,,,,,,,,,,,,,,,,,,,
UK,East Midlands,Female,11,Right-handed,120,20,120,1,Walk,40,0.45,43,Athletics,1000,1000,1000,719,994,1000
,,,,,,,,,,,,,,,,,,,
UK,North West,Male,15,Left-handed,185,26.5,181,1,Bus,15,0.37,49,Skateboarding/Rollerblading,245,221,317,334,739,765
,,,,,,,,,,,,,,,,,,,
New Zealand,Auckland,Male,14,Ambidextrous,165,23,170,1,Walk,45,0.359,,Hockey (Ice),0,,250,,,
,,,,,,,,,,,,,,,,,,,
Australia,New South Wales,Male,12,Right-handed,152,15,52,1,Bus,25,0.56,50,Martial arts,1000,629,1000,1000,1000,1000
,,,,,,,,,,,,,,,,,,,
Australia,Victoria,Female,12,Right-handed,160,25,160,1,Car,5,0.43,26,Netball,1000,1000,1000,1000,255,261
,,,,,,,,,,,,,,,,,,,
Canada,Ontario,Female,18,Right-handed,165,24.5,166,3,Bus,30,0.406,42,Dancing,1000,957,604,850,1000,1000
,,,,,,,,,,,,,,,,,,,
Australia,Western Australia,Male,13,Right-handed,166,26,170,1,Bus,9,0.37,40,Football/Soccer,297,492,302,279,568,799
,,,,,,,,,,,,,,,,,,,
Australia,South Australia,Male,14,Right-handed,159,26,128,1,Bus,10,0.29,46,Football/Soccer,521,1000,1000,1000,1000,1000
,,,,,,,,,,,,,,,,,,,
Australia,Western Australia,Female,13,Right-handed,160,25,160,1,Walk,6,0.39,47,Other activities/sports,1000,1000,545,988,740,693
,,,,,,,,,,,,,,,,,,,
Canada,British Columbia,Female,13,Ambidextrous,148,22.5,148,5,Walk,5,0.457,63,Dancing,791,1000,1000,604,877,1000
,,,,,,,,,,,,,,,,,,,
Australia,Victoria,Male,7,Right-handed,126,23,114,1,Car,10,0.36,63,Football/Soccer,1000,1,1000,965,480,
,,,,,,,,,,,,,,,,,,,
Australia,New South Wales,Male,14,Right-handed,178,26,164,2,Bus,40,0.42,49,Table Tennis,533,746,704,639,545,208
,,,,,,,,,,,,,,,,,,,
USA,ID,Male,18,Right-handed,176,26,80,2,Car,10,0.515,61,Walking/Hiking,60,210,0,,630,540
,,,,,,,,,,,,,,,,,,,
USA,CA,Female,17,Right-handed,60,22,160,2,Car,15,0.7,45,Martial Arts,960,920,850,850,900,875
,,,,,,,,,,,,,,,,,,,
USA,VA,Male,17,Right-handed,180,24,180,1,Car,20,0.342,38,Football (American),699,523,678,500,50,17
,,,,,,,,,,,,,,,,,,,
USA,IN,Female,17,Right-handed,176,27,174,1,Car,6,0.263,35,Basketball,500,430,425,,900,1000
,,,,,,,,,,,,,,,,,,,
USA,OH,Male,10,Right-handed,135,23,135,1,Car,15,0.392,35,Baseball/Softball,1000,1000,1000,1000,500,500
,,,,,,,,,,,,,,,,,,,
USA,SC,Male,15,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
USA,MD,Female,13,Right-handed,162,26,164,1,Car,8,3,46,Baseball/Softball,,,,,,
,,,,,,,,,,,,,,,,,,,
USA,ID,Female,17,Right-handed,166,25,159,1,Car,15,0.485,41,Dancing,9,7,8,6,5,4
,,,,,,,,,,,,,,,,,,,
USA,HI,Male,13,Right-handed,64,10.25,160,2,Car,10,1,20,Athletics,,,,,,
,,,,,,,,,,,,,,,,,,,
USA,OH,Male,16,Right-handed,545,100,530,2,Bus,20,0.234,49,Martial Arts,86,86,1000,1000,1000,1000
,,,,,,,,,,,,,,,,,,,
USA,OH,Male,12,Right-handed,157,24,150,1,Bus,80,0.281,44,Football (American),1000,1000,400,,150,1000
,,,,,,,,,,,,,,,,,,,
USA,VA,Male,19,Left-handed,172,27,175,1,Bus,47,0.337,32,Football (American),9,3,501,300,854,1000
,,,,,,,,,,,,,,,,,,,
USA,SC,Male,16,Right-handed,172.7,24.1,177.8,3,Car,4,0.048,35,Other,500,600,800,800,300,400
,,,,,,,,,,,,,,,,,,,
USA,DC,Male,11,Left-handed,156,26,169,2,Car,30,1.745,72,Soccer,1000,9200,300,1000,200,173
,,,,,,,,,,,,,,,,,,,
USA,CA,Male,17,Right-handed,174,,,2,Car,7,0.29,35,Swimming,1000,500,0,0,1000,1000
,,,,,,,,,,,,,,,,,,,
USA,SC,Male,16,Right-handed,165,25,165,2,Car,10,0.415,42,Other,13,12,1000,12,1000,1000
,,,,,,,,,,,,,,,,,,,
USA,ID,Male,16,Right-handed,160,24,167,2,Car,7,0.295,54,Tennis,200,500,0,500,600,700
,,,,,,,,,,,,,,,,,,,
USA,MO,Male,18,Right-handed,178,25,175,1,Car,6,0.33,37,Baseball/Softball,200,200,200,200,300,750
,,,,,,,,,,,,,,,,,,,
USA,DC,Female,12,Right-handed,165,20,149,2,Car,23,0.641,39,Other,700,700,800,850,900,1000
,,,,,,,,,,,,,,,,,,,
USA,GA,Female,16,Right-handed,169,17,60,2,Car,25,23,45,Running/Jogging,1000,1000,1000,,1000,1000
,,,,,,,,,,,,,,,,,,,
USA,ID,Male,18,Right-handed,75.5,26,83.2,1.5,Car,3,0.227,31,Table Tennis,535,674,594,,759,759
,,,,,,,,,,,,,,,,,,,
USA,MA,Female,13,Right-handed,158,22,151,1,Car,10,0.413,36,,,,,,,
,,,,,,,,,,,,,,,,,,,
USA,PA,Male,16,Right-handed,170,28,170,2,Car,12,0.085,40,Martial Arts,500,500,500,500,800,800
,,,,,,,,,,,,,,,,,,,
USA,MA,Female,13,Ambidextrous,206,53,178,3,Bus,35,0.252,28,Baseball/Softball,893,481,674,797,444,578
,,,,,,,,,,,,,,,,,,,
USA,NC,Male,14,Right-handed,58,26,29,1,Bus,20,0.334,49,Basketball,50,100,95,100,100,100
,,,,,,,,,,,,,,,,,,,
USA,PA,Female,17,Right-handed,154,22.5,152,1,Car,5,0.43,74,Dancing,1000,900,850,500,1000,1000
,,,,,,,,,,,,,,,,,,,
USA,GU,Male,17,Left-handed,169,24.5,177,2,Bus,20,0.764,83,Swimming,10001,1000,1000,10008,86,70
,,,,,,,,,,,,,,,,,,,
USA,IN,Female,17,Right-handed,178,24.4,187,1,Car,210,0.325,43,None,118,155,251,32,1000,1000
,,,,,,,,,,,,,,,,,,,
USA,IL,Male,17,Right-handed,172,26,180,1,Car,13,0.331,48,Other,0,0,0,0,1000,1000
,,,,,,,,,,,,,,,,,,,
USA,WI,Male,12,Right-handed,,,,,Bus,,,,Basketball,,,,,,
,,,,,,,,,,,,,,,,,,,
USA,NV,Female,13,Ambidextrous,60,3,30,2,Car,25,0.36,56,Athletics,1000,1000,1000,1000,0,150
,,,,,,,,,,,,,,,,,,,
USA,GA,Female,11,Right-handed,152,25,160,1,Bus,45,0.426,40,Basketball,1000,999,100,,500,500
,,,,,,,,,,,,,,,,,,,
USA,PA,Male,15,Right-handed,180,18,156,2,Bus,10,0.2,36,Martial Arts,500,600,600,900,890,900
,,,,,,,,,,,,,,,,,,,
USA,TX,Female,17,Right-handed,164,23,50,1,Car,5,0.422,,Other,800,800,1000,1000,500,600
,,,,,,,,,,,,,,,,,,,
USA,GA,Female,17,Right-handed,161,21,153,1,Car,40,0.369,35,Running/Jogging,800,750,500,950,900,900
,,,,,,,,,,,,,,,,,,,
USA,WI,Female,12,Right-handed,56,24,54,1,Car,5,0.726,36,Swimming,652,455,856,717,134,59
,,,,,,,,,,,,,,,,,,,
USA,MD,Male,15,Right-handed,162,,,3,Bus,15,0.377,57,Golf,10000,10000,10000,10000,10000,10000
,,,,,,,,,,,,,,,,,,,
USA,IN,Female,17,Right-handed,163,26,164,2,Car,15,0.394,34,Other,500,500,1000,500,1000,1000
,,,,,,,,,,,,,,,,,,,
USA,AZ,Female,13,Right-handed,151,23,158,1,Car,10,0.675,57,Gymnastics,350,200,1000,,250,250
,,,,,,,,,,,,,,,,,,,
USA,WY,Female,15,Right-handed,161,23.5,161.5,1,Car,10,0.358,50,Tennis,678,499,387,,546,422
,,,,,,,,,,,,,,,,,,,
USA,OH,Female,17,Right-handed,1651,24,1689,1,Car,25,0.733,20,Swimming,900,1000,900,,800,1000
,,,,,,,,,,,,,,,,,,,
USA,TX,Male,9,Right-handed,,,,2,Car,20,,,Soccer,1000,1000,1000,1000,,
,,,,,,,,,,,,,,,,,,,
USA,WI,Female,14,Right-handed,5.8,,,1,Bus,10,0.339,45,Baseball/Softball,572,267,540,663,1000,1000
,,,,,,,,,,,,,,,,,,,
USA,SC,Male,16,Left-handed,175,28,,1,Car,3,0.703,54,Football (American),400,500,200,500,600,600
,,,,,,,,,,,,,,,,,,,
USA,MI,Male,17,Right-handed,185,27,184,1,Car,10,0.297,33,Soccer,332,225,439,572,187,139
,,,,,,,,,,,,,,,,,,,
USA,GA,Male,17,Right-handed,192,31,198,2,Car,12,0.292,32,Football (American),900,960,980,990,700,800
,,,,,,,,,,,,,,,,,,,
USA,SC,Male,18,Right-handed,190,27,60,1,Car,15,0.266,50,Swimming,,,,,,
,,,,,,,,,,,,,,,,,,,
USA,FL,Male,17,Right-handed,175,25,186,2,Car,42,0.741,51,Basketball,100,100,800,1000,1000,1000
,,,,,,,,,,,,,,,,,,,
USA,MI,Male,15,Right-handed,170.7,28,170,1,Car,15,0.385,40,Football (American),750,500,250,,800,800
,,,,,,,,,,,,,,,,,,,
USA,DC,Female,12,Right-handed,154,21,146,2,Car,30,0.361,36,Dancing,1000,1000,1000,1000,0,0
,,,,,,,,,,,,,,,,,,,
USA,NC,Male,13,Right-handed,180,24,165,1,Bus,10,0.362,10,Baseball/Softball,16,5,0,5,11,561
,,,,,,,,,,,,,,,,,,,
USA,SC,Female,16,Right-handed,162,23,167,2,Car,10,0.386,32,Swimming,578,631,540,588,813,936
,,,,,,,,,,,,,,,,,,,
USA,GA,Male,12,Right-handed,157,26,169,2,Bus,9,0.343,36,Basketball,1000,1000,1000,736,32,21
,,,,,,,,,,,,,,,,,,,
USA,HI,Male,17,Right-handed,172.7,28.5,178,1,Car,20,0.214,,Baseball/Softball,,,,,,
,,,,,,,,,,,,,,,,,,,
USA,PA,Female,17,Right-handed,162,22,157,2,Car,6,0.439,40,Other,900,800,800,500,1000,1000
,,,,,,,,,,,,,,,,,,,
USA,FL,Female,18,Right-handed,164,24,156,2,Car,25,0.269,33,Swimming,412,417,556,,1000,1000
,,,,,,,,,,,,,,,,,,,
USA,CA,Male,12,Right-handed,169,28,175.5,2,Bus,20,0.309,38,Other,10000,10000,10000,,10000,99999
,,,,,,,,,,,,,,,,,,,
USA,MI,Female,17,Right-handed,163,21,158,1,Car,2,1.997,42,Other,500,100,700,800,1000,1000
,,,,,,,,,,,,,,,,,,,
USA,NC,Male,16,Right-handed,180,27,185,1,Car,10,0.303,40,Baseball/Softball,636,642,363,636,545,481
,,,,,,,,,,,,,,,,,,,
USA,CO,Male,17,Left-handed,183,26,182,2,Car,20,0.405,40,Running/Jogging,800,700,700,800,1000,1000
,,,,,,,,,,,,,,,,,,,
USA,MI,Female,17,Right-handed,65,23,170,2,Car,7,0.329,35,Dancing,700,600,100,,500,200
,,,,,,,,,,,,,,,,,,,
USA,NY,Female,11,Left-handed,148,24,147,2,Walk,10,0.39,40,Dancing,652,652,652,652,551,551
,,,,,,,,,,,,,,,,,,,
USA,NC,Female,14,Right-handed,161,23,137,1,Car,5,0.803,36,Running/Jogging,455,455,321,321,800,1000
,,,,,,,,,,,,,,,,,,,
USA,GU,Female,15,Right-handed,158.8,20.5,163,3,Bus,8,1.778,59,Baseball/Softball,500,999,999,999,0,3
,,,,,,,,,,,,,,,,,,,
USA,CT,Female,17,Right-handed,165,,167,2,Car,15,0.33,55,Dancing,800,500,,,,
,,,,,,,,,,,,,,,,,,,
USA,IL,Female,12,Right-handed,153,22,153,2,Car,14,0.32,36,Other,500,599,470,674,952,900
,,,,,,,,,,,,,,,,,,,
USA,IN,Female,17,Right-handed,162,23.5,168,1,Car,8,0.568,35,Soccer,1000,1000,1000,,1000,1000
,,,,,,,,,,,,,,,,,,,
USA,FL,Male,19,Right-handed,182.9,28.57,195,2,Car,11,0.38,45,Rowing,400,200,200,400,900,800
,,,,,,,,,,,,,,,,,,,
USA,WI,Male,12,Right-handed,144,25,147,2,Car,3,0.386,56,Other,1000,1000,1000,1000,500,1000
,,,,,,,,,,,,,,,,,,,
USA,PA,,17,Right-handed,185,24,185,1,Car,5,0.555,68,Football (American),30,20,400,600,900,950
,,,,,,,,,,,,,,,,,,,
USA,GA,Male,11,Right-handed,156,27,159,5,Car,6,0.023,12,,,,,,,
,,,,,,,,,,,,,,,,,,,
USA,MI,Female,17,Right-handed,165,22,158,2,Car,12,0.233,34,Table Tennis,850,750,900,900,400,800
,,,,,,,,,,,,,,,,,,,
USA,SC,Male,17,Right-handed,179,25,94,1,Car,30,0.047,35,Other,497,497,497,,1000,1000
,,,,,,,,,,,,,,,,,,,
USA,DC,Male,16,Right-handed,73.6,12,90,1,Bus,20,0.703,89,Bowling,500,900,850,,1000,900
,,,,,,,,,,,,,,,,,,,
USA,MO,Female,17,Right-handed,157,24,155.5,1,Car,30,0.937,,Walking/Hiking,642,642,503,508,401,401
,,,,,,,,,,,,,,,,,,,
USA,PA,Female,17,Right-handed,168,24,162,1,Car,10,,,Football (American),,,,,,
,,,,,,,,,,,,,,,,,,,
USA,SC,Female,16,Right-handed,161,23,152,1,Car,10,0.333,38,Tennis,100,800,200,850,400,700
,,,,,,,,,,,,,,,,,,,
USA,SC,Male,17,Right-handed,164,28,164,1,Car,6,0.234,46,Walking/Hiking,50,51,48,,1000,1000
,,,,,,,,,,,,,,,,,,,
USA,NV,Male,13,Right-handed,56,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
USA,NM,Female,17,Right-handed,162,23,168,2,Car,5,0.314,71,Other,500,200,100,,10,20
,,,,,,,,,,,,,,,,,,,
USA,OK,Female,15,Right-handed,157,22,152,2,Car,10,0.733,45,Walking/Hiking,100,100,1000,90,900,800
,,,,,,,,,,,,,,,,,,,
USA,CA,Male,17,Right-handed,180.4,26.2,181,1,Car,17,0.881,36,Soccer,846,912,950,950,1000,1000
,,,,,,,,,,,,,,,,,,,
USA,CA,Female,16,Right-handed,,,,1,Car,15,0.42,39,Walking/Hiking,,,,,,
,,,,,,,,,,,,,,,,,,,
USA,SC,Male,18,Right-handed,181,29,194,1,Car,10,0.453,73,Baseball/Softball,800,500,1000,,50,100
,,,,,,,,,,,,,,,,,,,
USA,KY,Male,17,Right-handed,184,27,185,2,Car,22,0.438,35,Walking/Hiking,950,800,950,,500,900
,,,,,,,,,,,,,,,,,,,
USA,CA,Female,11,Right-handed,155,22.9,150,2,Car,4,0.299,38,Dancing,1000,1000,1000,1000,513,743
,,,,,,,,,,,,,,,,,,,
USA,GA,Male,16,Right-handed,175,31,183,2,Car,25,0.456,38,Basketball,112,96,476,471,888,914
,,,,,,,,,,,,,,,,,,,
USA,AZ,Female,16,Right-handed,165.1,22.5,168,1,Car,11,0.36,35,Swimming,412,476,251,246,1000,1000
,,,,,,,,,,,,,,,,,,,
USA,SC,Male,15,Right-handed,170,26,164,1,Car,8,0.883,103,Golf,600,500,750,500,500,500
,,,,,,,,,,,,,,,,,,,
USA,NH,Male,17,Ambidextrous,170,22,165,0,Bus,5,0.29,36,Martial Arts,0,0,0,0,1,1
,,,,,,,,,,,,,,,,,,,
USA,CA,Female,17,Right-handed,165,23,167,2,Car,5,0.39,33,None,780,960,850,840,1000,1000
,,,,,,,,,,,,,,,,,,,
USA,CO,Female,15,Right-handed,167.6,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
USA,CA,Female,17,Right-handed,157.4,,,2,Car,10,0.468,41,Soccer,100,50,45,30,60,70
,,,,,,,,,,,,,,,,,,,
USA,GA,Male,17,Right-handed,183,31,190,2,Car,4,0.329,36,Golf,69,69,69,,69,69
,,,,,,,,,,,,,,,,,,,
USA,PA,Male,16,Right-handed,183,26,189,2,Bus,30,0.3,41,Other,807,861,845,845,861,872
,,,,,,,,,,,,,,,,,,,
USA,IN,Male,18,Right-handed,180,25,175,1,Car,5,0.3,45,None,1000,1000,1000,,1000,1000
,,,,,,,,,,,,,,,,,,,
USA,NJ,Female,17,Right-handed,,25,186,2,Walk,3,,,Soccer,900,900,900,,1000,600
,,,,,,,,,,,,,,,,,,,
USA,PA,Female,10,Right-handed,140,22.5,138,2,Car,2,0.484,55,Gymnastics,0,1000,1000,1000,1000,1000
,,,,,,,,,,,,,,,,,,,
USA,CA,Male,17,Right-handed,182.9,26.5,182.9,3,Car,30,0.318,40,Soccer,700,700,1000,900,600,1000
,,,,,,,,,,,,,,,,,,,
USA,SC,Female,16,Left-handed,152,25,152,2,Car,,,,,,,,,,
=======
﻿Country,Region,Gender,Age-years,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_enery,Importance_owning_computer,Importance_Internet_access
,,,,,,,,,,,,,,,,,,,
Australia,New South Wales,Female,10,Right-handed,0,0,0,2,Car,10,0.66,56,Netball,1000,947,1000,,1000,947
,,,,,,,,,,,,,,,,,,,
Australia,Victoria,Female,14,Ambidextrous,174,25,176,1,Car,15,0.42,31,Netball,220,509,610,214,1000,1000
,,,,,,,,,,,,,,,,,,,
New Zealand,Auckland,Female,14,Left-handed,170,26,160,2,Bus,25,0.375,,Athletics,1000,,1000,,,
,,,,,,,,,,,,,,,,,,,
UK,South West,Female,15,Right-handed,163,22,154,1,Walk,12,0.33,41,Football/Soccer,871,998,1000,1000,871,869
,,,,,,,,,,,,,,,,,,,
Australia,New South Wales,Female,16,Right-handed,171,22,162,2,Bus,40,2.47,31,Golf,1000,941,941,911,1000,1000
,,,,,,,,,,,,,,,,,,,
Australia,Western Australia,Male,11,Right-handed,146,22,138,1,Car,15,0.69,36,Rugby Union,7,111,25,41,539,151
,,,,,,,,,,,,,,,,,,,
Canada,Alberta,Female,12,Right-handed,156.5,21,161,1,Car,15,0.341,37,Swimming,824,278,91,219,941,968
,,,,,,,,,,,,,,,,,,,
Australia,Queensland,Male,15,Right-handed,184,30,184,1,Bus,25,0.51,27,None,,,976,,982,1000
,,,,,,,,,,,,,,,,,,,
Canada,Ontario,Female,14,Right-handed,160,22,166.5,2,Bus,35,0.391,31,Bowling,1000,1000,1000,1000,503,599
,,,,,,,,,,,,,,,,,,,
UK,West Midlands,Male,13,Right-handed,171,26.25,171,1,Walk,20,14.08,51,Football/Soccer,365,723,756,711,1000,1000
,,,,,,,,,,,,,,,,,,,
Australia,Tasmania,Female,11,Right-handed,147,23,119,2,Cycle,10,0.37,43,Basketball,545,1000,699,1000,1000,1000
,,,,,,,,,,,,,,,,,,,
New Zealand,Auckland,Male,10,Right-handed,140,21,141,1,Car,5,0.4,,Football/Soccer,1000,,1000,,,
,,,,,,,,,,,,,,,,,,,
New Zealand,Auckland,Female,10,Right-handed,150,25,150,1,Car,5,0.621,,Netball,500,,1000,,,
,,,,,,,,,,,,,,,,,,,
Canada,Ontario,Male,12,Right-handed,148,22,152,1,Walk,15,0.016,22,Football/Soccer,476,235,219,193,1000,1000
,,,,,,,,,,,,,,,,,,,
Canada,Ontario,Male,17,Right-handed,184.5,18.5,170,1,Bus,90,0.47,52,Other activities/sports,866,112,241,791,845,856
,,,,,,,,,,,,,,,,,,,
Australia,Victoria,Female,7,Right-handed,121,121,21,1,Car,10,0.79,45,Cycling,1000,1000,1000,1000,,72
,,,,,,,,,,,,,,,,,,,
UK,East Midlands,Female,11,Right-handed,155,23,158,1,Walk,5,8,88,Dancing,560,410,332,500,1000,1000
,,,,,,,,,,,,,,,,,,,
Canada,Ontario,Female,13,Right-handed,111,23,100,1,Walk,3,0.733,32,Swimming,882,920,524,909,663,668
,,,,,,,,,,,,,,,,,,,
Canada,Ontario,Female,12,Right-handed,145,24,144.5,2,Walk,5,0.313,29,Athletics,818,818,818,824,706,711
,,,,,,,,,,,,,,,,,,,
UK,North West,Female,11,Right-handed,151,24,148,2,Car,10,0.42,35,Hockey (Field),500,500,1000,500,1000,992
,,,,,,,,,,,,,,,,,,,
